   N1	   N2	      Id	    Long	    Lat	 ElevM	Species	 T	FirstYear	 LastYear
    1	    1	   ca677	 -120.28	  39.57	  1688	   PIJE	 R	     1685	     2010
    2	    2	     LEM	 -120.25	  39.56	  2015	   PIJE	 R	     1685	     2020
    3	    3	   ca632	 -120.20	  39.55	  2268	   JUGR	 R	     1685	     1999
    4	    4	   ca631	 -120.55	  39.52	  1921	   JUGR	 R	     1685	     1999
    5	    5	     CPR	 -119.95	  39.46	  2507	   PIPO	 R	     1685	     2020
    6	    6	   ca691	 -120.31	  39.42	  2478	   ABMA	 R	     1685	     2015
    7	    7	   ca692	 -120.31	  39.42	  2478	   TSME	 R	     1685	     2015
    8	    8	     IVJ	 -119.96	  39.28	  2563	   JUGR	 R	     1685	     2000
    9	    9	     IVP	 -119.96	  39.27	  2332	   PIJE	 R	     1685	     2000
   10	   11	     LTV	 -119.87	  39.25	  2006	   PIJE	 R	     1685	     2020
   11	   12	     SSP	 -119.94	  39.08	  2132	   PIJE	 R	     1685	     1999
   12	   13	     GMH	 -119.88	  39.04	  2728	   TSME	 R	     1685	     2000
   13	   14	    BLJP	 -120.11	  38.99	  2004	   PIJE	 R	     1685	     2000
   14	   15	    BLSP	 -120.11	  38.99	  2004	   PILA	 R	     1685	     2000
   15	   16	   ca630	 -119.99	  38.70	  2591	   JUGR	 R	     1685	     1999
   16	   17	     LUR	 -119.99	  38.80	  2416	   PIJE	 R	     1685	     2020
   17	   18	    DGSa	 -119.38	  38.35	  2370	   JUOC	 R	     1685	     2001
   18	   19	   ca678	 -119.15	  37.95	  2499	   PIJE	 R	     1685	     2010
   19	   20	     NOD	 -119.33	  37.46	  1539	   PIPO	 R	     1685	     2002
   20	   21	    KAIM	 -119.11	  37.31	  2730	   JUGR	 R	     1685	     2011
   21	   22	   LEM.e	 -120.25	  39.56	  2015	   PIJE	 E	     1685	     2020
   22	   23	   CPR.e	 -119.95	  39.46	  2507	   PIPO	 E	     1685	     2020
   23	   26	   LTV.e	 -119.87	  39.25	  2006	   PIJE	 E	     1685	     2020
   24	   27	   LUR.e	 -119.99	  38.80	  2416	   PIJE	 E	     1685	     2020
   25	   28	   LEM.l	 -120.25	  39.56	  2015	   PIJE	 L	     1685	     2020
   26	   29	   CPR.l	 -119.95	  39.46	  2507	   PIPO	 L	     1685	     2020
   27	   32	   LTV.l	 -119.87	  39.25	  2006	   PIJE	 L	     1685	     2020
   28	   33	   LUR.l	 -119.99	  38.80	  2416	   PIJE	 L	     1685	     2020
   29	   35	   CPR.b	 -119.95	  39.46	  2507	   PIPO	 B	     1685	     2020
   30	   36	   LTV.b	 -119.87	  39.25	  2006	   PIJE	 B	     1685	     2019
   31	   37	   LUR.b	 -119.99	  38.80	  2416	   PIJE	 B	     1685	     2020
